Date,oil_production
6/5/09,5358
5/29/09,5358
5/22/09,5364
5/15/09,5352
5/8/09,5306
5/1/09,5280
4/24/09,5269
4/17/09,5421
4/10/09,5482
4/3/09,5469
3/27/09,5480
3/20/09,5432
3/13/09,5414
3/6/09,5401
2/27/09,5373
2/20/09,5300
2/13/09,5323
2/6/09,5327
1/30/09,5235
1/23/09,5045
1/16/09,5052
1/9/09,4917
1/2/09,4935
12/26/08,4979
12/19/08,4972
12/12/08,4967
12/5/08,5152
11/28/08,5118
11/21/08,5006
11/14/08,4943
11/7/08,4885
10/31/08,4776
10/24/08,4675
10/17/08,4630
10/10/08,4572
10/3/08,4422
9/26/08,3839
9/19/08,3932
9/12/08,3988
9/5/08,4084
8/29/08,5097
8/22/08,4906
8/15/08,5078
8/8/08,5139
8/1/08,5172
7/25/08,5160
7/18/08,5165
7/11/08,5139
7/4/08,4960
6/27/08,5123
6/20/08,5120
6/13/08,5145
6/6/08,5114
5/30/08,5139
5/23/08,5128
5/16/08,5045
5/9/08,5128
5/2/08,5099
4/25/08,5098
4/18/08,5101
4/11/08,5096
4/4/08,5097
3/28/08,5087
3/21/08,5103
3/14/08,5100
3/7/08,5100
2/29/08,5050
2/22/08,5044
2/15/08,5034
2/8/08,5044
2/1/08,5013
1/25/08,4998
1/18/08,5042
1/11/08,5013
1/4/08,5051
12/28/07,5078
12/21/07,5117
12/14/07,5110
12/7/07,5117
11/30/07,5133
11/23/07,5117
11/16/07,4942
11/9/07,5134
11/2/07,5126
10/26/07,5114
10/19/07,5122
10/12/07,5102
10/5/07,5059
9/28/07,5064
9/21/07,5027
9/14/07,5039
9/7/07,5129
8/31/07,5021
8/24/07,5161
8/17/07,5119
8/10/07,5192
8/3/07,5142
7/27/07,5206
7/20/07,5184
7/13/07,5201
7/6/07,5198
6/29/07,5122
6/22/07,5108
6/15/07,5093
6/8/07,5170
6/1/07,5180
5/25/07,5148
5/18/07,5207
5/11/07,5201
5/4/07,5131
4/27/07,5089
4/20/07,5128
4/13/07,5125
4/6/07,5179
3/30/07,5243
3/23/07,5218
3/16/07,5235
3/9/07,5218
3/2/07,5267
2/23/07,5285
2/16/07,5323
2/9/07,5316
2/2/07,5283
1/26/07,5224
1/19/07,5241
1/12/07,5317
1/5/07,5370
12/29/06,5369
12/22/06,5361
12/15/06,5348
12/8/06,5357
12/1/06,5368
11/24/06,5030
11/17/06,5269
11/10/06,5326
11/3/06,5329
10/27/06,5307
10/20/06,5221
10/13/06,5132
10/6/06,5253
9/29/06,5151
9/22/06,5106
9/15/06,5109
9/8/06,5076
9/1/06,5101
8/25/06,5099
8/18/06,5087
8/11/06,5150
8/4/06,5144
7/28/06,4940
7/21/06,5141
7/14/06,5265
7/7/06,5275
6/30/06,5129
6/23/06,5162
6/16/06,5198
6/9/06,5211
6/2/06,5097
5/26/06,5088
5/19/06,5093
5/12/06,5069
5/5/06,5128
4/28/06,5122
